,clusters,inertia
0,1,11855.999999999996
1,2,4734.056191384605
2,3,3050.5334134320005
3,4,2329.37026685002
4,5,1927.3918115820761
5,6,1594.692017527599
6,7,1380.3491188574635
7,8,1225.933463325347
8,9,1101.3091802384022
9,10,1000.9368871273313
